item,count,stddev,mean
1,70,0.8288199170345995,3.796563948903765
2,70,0.8111395867350222,3.770445203781128
3,70,0,0
4,70,0,0
5,70,0,0
6,70,0.678968536687724,3.8875107390539987
7,70,0.8655975627779464,3.7497414759227206
9,70,0,0
10,70,0.959595580467141,3.7784233382769994
11,70,0.9784731774141833,3.7181529249463763
13,70,0,0
14,70,0,0
15,70,0,0
16,70,0.9450011203789792,3.8484110525676183
17,70,0.7123036306197924,3.8867142507008143
18,70,0,0
19,70,0,0
21,70,0.7282997418699384,3.5633610231535777
22,70,0,0
23,70,0,0
24,70,0,0
25,70,0.6349130354424777,3.8099014145987375
26,70,0,0
28,70,0,0
29,70,0.8064573331505458,3.6709396123886107
30,70,0,0
32,70,0.6178203235132022,3.9068130595343455
34,70,0.7700958984027938,3.7983480896268573
35,70,0,0
36,70,0,0
38,70,0,0
39,70,0.901130159711939,3.5690007516316005
40,70,0,0
41,70,0,0
42,70,0,0
44,70,0,0
45,70,0.9685844209974573,3.848373145716531
46,70,0,0
47,70,1.0886419072743108,3.414865517616272
48,70,1.0043025304406463,3.722742084094456
50,70,0.8006817762103242,3.986702791282109
52,70,0,0
54,70,0,0
55,70,0,0
58,70,0,0
60,70,0,0
62,70,0.9757420946334453,3.663933713095529
64,70,0,0
65,70,0,0
66,70,0,0
70,70,0,0
73,70,0,0
74,70,0,0
76,70,0.707412793031878,3.8607050010136197
78,70,0,0
79,70,0,0
81,70,0,0
82,70,0,0
85,70,0,0
86,70,0,0
88,70,0,0
89,70,0,0
92,70,0,0
93,70,0,0
94,70,0,0
95,70,0.7042969772668498,3.873826098442078
100,70,0,0
104,70,0.8963241978768905,3.8796848688806804
105,70,0,0
107,70,0,0
110,70,1.3128823406292478,3.6398421015058244
111,70,0.8058575967270465,3.9692086935043336
112,70,0,0
113,70,0,0
116,70,0,0
118,70,0,0
122,70,0,0
123,70,0,0
125,70,0,0
126,70,0,0
132,70,0,0
135,70,0,0
140,70,0,0
141,70,0,0
144,70,0,0
145,70,0,0
148,70,0,0
150,70,0.6535934340960424,3.77752366065979
151,70,0,0
153,70,0,0
154,70,0,0
155,70,0,0
157,70,0,0
158,70,0,0
159,70,0,0
160,70,0.9270606923286544,3.6556365149361745
161,70,0.9705013913795965,3.6358050755092077
162,70,0,0
163,70,0.8155811042059502,3.7450471435274397
164,70,0.7951436918329509,3.774904925482614
165,70,0.8582888400529992,3.5937731078692843
166,70,0,0
168,70,0.7099863519946229,3.9735290118626185
170,70,0,0
172,70,0,0
173,70,0.5757753991324519,3.7857671090534755
175,70,0,0
176,70,0,0
177,70,0,0
178,70,0,0
180,70,0,0
182,70,0,0
184,70,0,0
185,70,1.1524764858242256,3.821534310068403
186,70,0,0
187,70,0,0
188,70,0,0
190,70,0,0
193,70,0,0
194,70,0,0
195,70,0,0
196,70,0.5951651991542743,3.7562429359980993
198,70,0.9449196139706248,3.7729237862995695
199,70,0,0
202,70,0,0
203,70,0,0
205,70,0,0
207,70,0,0
208,70,1.4645578769639578,3.3788515056882584
215,70,0,0
216,70,0,0
217,70,0,0
218,70,0,0
222,70,0.7054196654361398,3.766201192992074
223,70,0.850399595875078,3.8039940629686626
224,70,0.8739986551896995,3.7537005305290223
225,70,0,0
229,70,0,0
230,70,0.5064979309372344,3.8674151931490215
231,70,1.0174112807356546,3.973844041143145
232,70,0,0
233,70,0,0
234,70,0,0
235,70,0.8089621659512958,3.82223003080913
236,70,0,0
237,70,0,0
239,70,0,0
242,70,0,0
246,70,0,0
247,70,0,0
248,70,0,0
249,70,0,0
252,70,1.1799773178912274,3.7167378119059973
253,70,0,0
254,70,0,0
256,70,0,0
257,70,0,0
258,70,0,0
259,70,0,0
260,70,0.7770868807708889,4.089996433258056
261,70,0.6368141292148227,3.952956713948931
262,70,0,0
265,70,0,0
266,70,0,0
267,70,0,0
268,70,0,0
269,70,0,0
272,70,0.5821815141007993,3.85512284551348
275,70,0,0
276,70,0.9544685964469493,3.9467923743384223
277,70,0,0
278,70,0,0
279,70,0,0
280,70,0,0
281,70,0,0
282,70,0,0
287,70,0,0
288,70,0.8994966063516211,3.7493141242436
289,70,0,0
290,70,0,0
291,70,0,0
292,70,0,0
293,70,0.7109300870155426,3.9478536197117395
296,70,0.7173719530567131,3.8717977251325335
299,70,0,0
300,70,0.6992915210160215,3.783148237637111
302,70,0,0
303,70,0,0
305,70,0,0
307,70,0,0
309,70,0,0
312,70,0,0
313,70,0,0
314,70,0,0
315,70,0,0
316,70,0.9063080390467295,3.7368593573570252
317,70,1.0786330238549848,3.3310102343559267
318,70,0.8976394117193304,3.979397804396493
319,70,0.7527819621840589,3.872335055896214
321,70,0,0
322,70,0,0
326,70,0,0
327,70,0,0
329,70,1.1108806742773587,3.441086448941912
330,70,0,0
333,70,0.9428108834044422,3.850261119433812
334,70,0,0
336,70,0,0
337,70,0.6560150890110149,3.961329698562622
339,70,0.7933899462581772,3.7249436327389307
340,70,0,0
341,70,0,0
342,70,0,0
344,70,1.0306130890348517,3.532071111883436
345,70,0,0
346,70,0,0
348,70,0,0
349,70,0.7122718086503549,4.246539115905762
350,70,1.109385167277636,3.7002429144723075
351,70,0,0
353,70,0.625269914730367,3.8769454921994893
355,70,0,0
356,70,0.960052289042319,3.908517207418169
357,70,1.2245651201087684,3.5555439097540718
358,70,0,0
360,70,0,0
361,70,0,0
364,70,1.3618028851457502,3.602250269481114
365,70,0,0
366,70,0,0
367,70,0.7158485566535668,3.7646454674857
368,70,0.7455536256352313,3.690202668734959
370,70,0,0
371,70,0,0
372,70,0,0
374,70,0,0
376,70,0,0
